Species,Date ,Location
Oriental Plover,7-Oct-22,Tuas South
Oriental Scops Owl,25-Nov-22,Bukit Brown Cemetery
Oriental Scops Owl,30-Dec-20,Central Catchment Nature Reserve
Oriental Scops Owl,16-Dec-21,Jalan Besar Road
Oriental Scops Owl,23-Nov-19,Jurong East
Oriental Scops Owl,12-Mar-21,Jurong Island
Oriental Scops Owl,17-Nov-21,Jurong West
Oriental Scops Owl,23-Jan-20,MacRitchie Reservoir Park
Oriental Scops Owl,26-Feb-22,Marina Bay Floating Stage
Oriental Scops Owl,14-Feb-18,Mimosa Walk
Oriental Scops Owl,9-Nov-20,Montreal Dr
Oriental Scops Owl,31-Oct-22,Nanyang Technological University
Oriental Scops Owl,9-Mar-17,National University of Singapore
Oriental Scops Owl,11-Nov-20,"New Tech Park, Serangoon"
Oriental Scops Owl,19-Dec-18,Oriole Crescent
Oriental Scops Owl,21-Nov-22,Pasir Ris Grove
Oriental Scops Owl,8-Dec-22,People's Park Centre
Oriental Scops Owl,2-Dec-16,Pulau Ubin
Oriental Scops Owl,25-Oct-22,Sims Avenue
Oriental Scops Owl,29-Oct-22,Singapore Botanic Gardens
Oriental Scops Owl,20-Nov-22,Tampines Eco Green
Oriental Scops Owl,28-Oct-22,Teck Ghee Neighbourhood
Oriental Scops Owl,2-Nov-22,Toa Payoh
Oriental Scops Owl,4-Feb-23,Windsor Nature Park
Oriental Scops Owl,21-Nov-22,Woodlands Waterfront Park
Oriental Scops Owl,26-Nov-22,Woodlands Waterfront Park
Oriental Turtle Dove,4-Feb-23,Lim Chu Kang Lane 3
Oriental Turtle Dove,8-Jan-23,Rower's Bay Park
Parasitic Jaeger,26-Apr-15,Singapore Straits
Parasitic Jaeger,14-Oct-17,Singapore Straits
Parasitic Jaeger,3-Mar-18,Singapore Straits
Parasitic Jaeger,14-Oct-18,Singapore Straits
Parasitic Jaeger,4-Nov-18,Singapore Straits
